CODINST,NOMBREINSTITUCION,CODIGOMUNICIPIO,NOMBREMUNICIPIO,DEPARTAMENTO,CALENDARIO,NATURALEZA,JORNADA,EVALUADOS,PROMLECTURACRITICA,PROMMATEMATICA,PROMSOCIALESYCIUDADANAS,PROMCIENCIASNATURALES,PROMINGLES,DESVLECTURACRITICA,DESVMATEMATICA,DESVSOCIALESYCIUDADANAS,DESVCIENCIASNATURALES,DESVINGLES,PERIODO
146498,COL SAGRADO CORAZON DE JESUS,73168,CHAPARRAL,TOLIMA,A,NO OFICIAL,FIN DE SEMANA,8,"46,375","43,75","46,5","46,75","43,625","7,96308447058766","11,3986214705363","8,01783725737273","5,82482372510718","3,37797487937881",46
146522,I.E. MUNICIPAL LICEO SUR ANDINO - SEDE PRINCIPAL,41551,PITALITO,HUILA,A,OFICIAL,TARDE,18,"58,5555555555556","60,3888888888889","58,2777777777778","59,0555555555556","52,4444444444444","12,0695154258313","12,7654814378412","12,9923305682534","8,70748307135354","7,18021974284601",59
146530,I.E. MUNICIPAL LICEO SUR ANDINO - SEDE PRINCIPAL,41551,PITALITO,HUILA,A,OFICIAL,MAÑANA,33,"61,0606060606061","62,1515151515152","59,6969696969697","58,3939393939394","53,6363636363636","10,0216621436373","12,7918949244268","11,1228504903331","11,4916801261266","9,75262202505749",60
146548,COLEGIO PADRE MANYANET - BOGOTA - SEDE PRINCIPAL,11001,BOGOTÁ D.C.,BOGOTA,A,NO OFICIAL,COMPLETA,40,"57,725","53,075","55,35","54,525","56,6","8,99283903148243","9,36821549380999","9,82552928045231","9,10335948132083","10,0735754862374",55
146555,SILVESTRE DANGOND DAZA,44874,VILLANUEVA,LA GUAJIRA,A,OFICIAL,MAÑANA,45,"51,8666666666667","47,8","49,2","50,1333333333333","44,6444444444444","7,55765716463653","7,96754781484355","8,10331021025583","6,91046637026369","5,43622343658953",49
146563,COLEGIO MAYOR PRIMEROS MAESTROS,11001,BOGOTÁ D.C.,BOGOTA,A,NO OFICIAL,MAÑANA,29,"59,1034482758621","57,6896551724138","58,0689655172414","56,4137931034483","63,7241379310345","9,06462838095027","10,6237720240837","9,80863699021996","9,91217592292901","15,1301415150688",58
146589,I.E. JULIO CÉSAR TURBAY AYALA - SEDE PRINCIPAL,25754,SOACHA,CUNDINAMARCA,A,OFICIAL,FIN DE SEMANA,42,48,"41,7380952380952","45,1904761904762",43,"43,7142857142857","6,81461843320988","9,34712561480807","8,85172739167291","7,78679307169925","6,25976588935617",44
146605,I.E. SANTO DOMINGO SAVIO - SEDE PRINCIPAL,73555,PLANADAS,TOLIMA,A,OFICIAL,MAÑANA,20,"48,6","47,4","48,55","49,15","43,2","8,1331032466736","10,8550255157401","9,46169563083311","7,34327476065865","6,31289407316069",48
146613,NUEVO LICEO LOS PINOS - SEDE PRINCIPAL,25175,CHIA,CUNDINAMARCA,A,NO OFICIAL,COMPLETA,3,62,"59,6666666666667",56,58,58,"2,64575131106459","4,72581562625261","8,88819441731559","6,2449979983984","14,422205101856",59
146621,PIAGUA (sede principal),19256,EL TAMBO,CAUCA,A,OFICIAL,MAÑANA,15,"46,4","37,4","44,2","45,9333333333333","42,5333333333333","6,32229614708363","6,91582037278091","7,85766232049056","7,48776780266767","5,60442002436682",43
146654,NUESTRA SEÑORA DE LAS MERCEDES (sede principal),19130,CAJIBIO,CAUCA,A,OFICIAL,MAÑANA,33,"45,1515151515152","41,7878787878788","43,1818181818182","46,3939393939394","43,3333333333333","6,96473802504988","10,5586385715607","9,09482870047089","7,94095158788996","7,50277726356492",44
146670,SEDE JOHN F KENNEDY,19001,POPAYAN,CAUCA,A,OFICIAL,TARDE,53,"53,8301886792453","50,5849056603774","51,6603773584906","54,1320754716981","47,1698113207547","9,11198671458604","9,28902156448914","8,80546900910149","6,82201677785033","8,49827097585739",52
146688,INST DE FORMACION PARA JOVENES Y ADULTOS DEL PATIA IFAP - SEDE PRINCIPAL,19532,PATIA(EL BORDO),CAUCA,A,NO OFICIAL,FIN DE SEMANA,17,"41,8823529411765","35,1764705882353","36,4705882352941","39,2941176470588","42,5882352941176","5,01101727373266","9,1189040879212","5,91732252647707","4,62012859510362","9,9816007203843",39
146704,I.E. RAFAEL URIBE URIBE - SEDE PRINCIPAL,73268,ESPINAL,TOLIMA,A,OFICIAL,MAÑANA,48,"50,8541666666667","49,9583333333333","45,9375","49,2916666666667","46,0208333333333","7,75965996001342","10,214629336509","10,0114960516143","7,61844998289311","7,74181677323576",49
